Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Rot-Curse Rakshasa,TDM,Tarkir: Dragonstorm,87,normal,mythic,1,104531,31276460-fa9d-47da-85c5-c4baa8074d0d,4.65,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Salvation Engine,DFT,Aetherdrift,295,normal,mythic,1,103475,37c2e68f-3f40-45b1-9afe-cc1c5fb41203,1.97,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Sandstorm Salvager,BIG,The Big Score,19,normal,mythic,1,93495,13b0f27c-a359-4702-833a-82fec161eeec,1.32,false,false,near_mint,en,EUR,2026-05-17T22:24:02.945Z
"Sarkhan, Soul Aflame",MAT,March of the Machine: The Aftermath,46,normal,mythic,1,82539,6225f139-f6eb-4eb5-9776-159a599d8255,4.05,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Sauron, the Lidless Eye",LTR,The Lord of the Rings: Tales of Middle-earth,288,foil,mythic,1,83547,d82a4c78-d2fc-425a-8d0e-2e64509a08f1,2.63,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Shiko, Paragon of the Way",TDM,Tarkir: Dragonstorm,223,normal,mythic,1,103996,8138cf10-1e3e-483f-86ad-cc399192657d,1.37,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Shivan Devastator,DMU,Dominaria United,143,normal,mythic,1,71305,1f5d274c-3a03-4f0d-97e8-7eef6508105d,3.15,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Silverback Elder,DMU,Dominaria United,177,normal,mythic,1,71720,b987664f-0b74-4c0a-b306-14767a55559a,3.72,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
"Sothera, the Supervoid",EOE,Edge of Eternities,115,normal,mythic,1,106772,e99d6fc0-dcf2-4b25-81c2-02c230a36246,3.95,false,false,near_mint,en,EUR,2025-08-01T19:16:32.510Z
Soul of Windgrace,EOC,Edge of Eternities Commander,126,normal,mythic,1,107026,5a80f7e1-1d79-4302-a603-73eb060b97a6,0.27,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
Sphinx of the Final Word,OGW,Oath of the Gatewatch,63,normal,mythic,1,9319,866f92a3-2738-4e0f-adda-3ff9227dc17a,1.02,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
Sphinx's Tutelage,SPG,Special Guests,75,normal,mythic,1,100844,94a3673b-6003-4612-a8f6-02829aa9de7d,2.84,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Spider-Verse,SPM,Marvel's Spider-Man,93,normal,mythic,1,108603,f8779eb2-1210-430d-8d42-3077053441ee,0.47,false,false,near_mint,en,EUR,2025-09-30T23:51:40.191Z
Summon: Bahamut,FIN,Final Fantasy,1,normal,mythic,2,105670,95318d85-4a08-47ac-a43d-ea83c0bea81c,18.39,false,false,near_mint,en,EUR,2025-06-18T14:09:45.764Z
Sun Titan,BLC,Bloomburrow Commander,157,normal,mythic,1,96217,28d5eee5-bab8-4a26-83cd-16a3c07fb7b6,0.35,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
"Szarel, Genesis Shepherd",EOC,Edge of Eternities Commander,4,normal,mythic,1,106766,89b61123-b10f-4bcf-b5f9-1f302f9b22d1,0.17,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
The Dominion Bracelet,EOE,Edge of Eternities,239,normal,mythic,1,107354,f5360880-2849-45d6-b1aa-08c7e01083af,3.43,false,false,near_mint,en,EUR,2025-08-01T19:16:32.510Z
The Gitrog Monster,EOC,Edge of Eternities Commander,117,normal,mythic,1,107007,40489e28-878d-44a2-847f-07beef1aa0f8,2.27,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
The Odd Acorn Gang,BLC,Bloomburrow Commander,7,foil,mythic,2,96345,791d9ea0-c70a-47a6-b8a3-0f5d36a5c44d,0.86,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
The Rise of Sozin // Fire Lord Sozin,TLA,Avatar: The Last Airbender,117,normal,mythic,1,108108,14eadf46-90c2-4376-8183-6a922a60174d,0.02,false,false,near_mint,en,EUR,2025-11-26T15:34:18.488Z
"Titania, Protector of Argoth",EOC,Edge of Eternities Commander,111,normal,mythic,1,107058,732c208b-cd9e-48a9-9b9d-aba63066ba53,0.52,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
Vivien Reid,FDN,Foundations,234,normal,mythic,1,100058,38769247-42a1-4571-9071-6d59fe28650a,0.41,false,false,near_mint,en,EUR,2025-04-20T23:27:12.695Z
Vizier of the Menagerie,FDN,Foundations,649,normal,mythic,1,100318,3010ec33-c3f6-42ce-ad5a-e149e5c9a805,1.35,false,false,near_mint,es,EUR,2025-04-20T23:27:12.695Z
World Breaker,EOC,Edge of Eternities Commander,112,normal,mythic,1,107171,d25856c9-cb3d-44d9-905e-007f1af65c06,0.72,false,false,near_mint,en,EUR,2025-08-06T14:50:32.528Z
"Zinnia, Valley's Voice",BLC,Bloomburrow Commander,4,normal,mythic,1,95843,dfe36901-5841-4942-8b61-c273111f715e,0.49,false,false,near_mint,en,EUR,2025-11-06T20:40:57.429Z
